id,chemical_name,cas_id,cas_number,created_at,updated_at,date_removed
63468,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63469,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63470,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,2019-08-16
63471,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63472,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63473,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63474,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63477,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63478,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63479,Titanium dioxide,656,13463-67-7,2019-08-16,2019-08-16,
63484,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63485,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63486,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63487,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63488,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63489,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63490,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63491,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63492,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63493,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63494,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63495,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63496,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63497,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63498,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63499,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63500,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63501,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63502,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63503,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63504,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63505,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63506,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63507,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63508,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63509,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63510,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63511,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63512,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63513,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63514,Titanium dioxide,656,13463-67-7,2019-08-17,2019-08-17,
63515,Carbon black,1104,1333-86-4,2019-08-17,2019-08-17,
63516,Titanium dioxide,656,13463-67-7,2019-08-19,2019-08-19,
63517,Titanium dioxide,656,13463-67-7,2019-08-19,2019-08-19,
63518,Titanium dioxide,656,13463-67-7,2019-08-19,2019-08-19,
63519,Titanium dioxide,656,13463-67-7,2019-08-19,2019-08-19,
63520,Titanium dioxide,656,13463-67-7,2019-08-19,2019-08-19,
63521,Titanium dioxide,656,13463-67-7,2019-08-19,2019-08-19,
63522,Titanium dioxide,656,13463-67-7,2019-08-19,2019-08-19,
63523,Titanium dioxide,656,13463-67-7,2019-08-19,2019-08-19,
63524,Titanium dioxide,656,13463-67-7,2019-08-19,2019-08-19,
63525,Titanium dioxide,656,13463-67-7,2019-08-19,2019-08-19,
63526,Titanium dioxide,656,13463-67-7,2019-08-19,2019-08-19,
63527,Titanium dioxide,656,13463-67-7,2019-08-19,2019-08-19,
63528,Titanium dioxide,656,13463-67-7,2019-08-19,2019-08-19,
63529,Titanium dioxide,656,13463-67-7,2019-08-19,2019-08-19,
63530,Titanium dioxide,656,13463-67-7,2019-08-20,2019-08-20,
63531,Titanium dioxide,656,13463-67-7,2019-08-20,2019-08-20,
63532,Titanium dioxide,656,13463-67-7,2019-08-20,2019-08-20,
63533,Titanium dioxide,656,13463-67-7,2019-08-20,2019-08-20,
63534,Titanium dioxide,656,13463-67-7,2019-08-20,2019-08-20,
63535,Titanium dioxide,656,13463-67-7,2019-08-20,2019-08-20,
63536,Titanium dioxide,656,13463-67-7,2019-08-20,2019-08-20,
63537,Titanium dioxide,656,13463-67-7,2019-08-21,2019-08-21,
63538,Titanium dioxide,656,13463-67-7,2019-08-21,2019-08-21,
63539,Titanium dioxide,656,13463-67-7,2019-08-21,2019-08-21,
63540,Titanium dioxide,656,13463-67-7,2019-08-21,2019-08-21,
63541,Titanium dioxide,656,13463-67-7,2019-08-21,2019-08-21,
63542,Titanium dioxide,656,13463-67-7,2019-08-21,2019-08-21,
63543,Titanium dioxide,656,13463-67-7,2019-08-21,2019-08-21,
63544,Titanium dioxide,656,13463-67-7,2019-08-21,2019-08-21,
63545,Titanium dioxide,656,13463-67-7,2019-08-21,2019-08-21,
63546,Titanium dioxide,656,13463-67-7,2019-08-21,2019-08-21,
63547,Titanium dioxide,656,13463-67-7,2019-08-21,2019-08-21,
63548,Titanium dioxide,656,13463-67-7,2019-08-21,2019-08-21,
63549,Titanium dioxide,656,13463-67-7,2019-08-21,2019-08-21,
63550,Titanium dioxide,656,13463-67-7,2019-08-21,2019-08-21,
63551,Titanium dioxide,656,13463-67-7,2019-08-21,2019-08-21,
65624,Titanium dioxide,656,13463-67-7,2019-10-15,2019-10-15,
63552,Titanium dioxide,656,13463-67-7,2019-08-21,2019-08-21,
63553,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63555,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63557,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,2019-08-22
63558,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63559,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63554,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63556,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63560,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63561,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63562,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63563,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63564,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63565,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63566,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63568,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63570,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63569,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63571,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63572,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63573,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63574,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63575,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
